EJUDO, REINO (01988) --> 2017-07-14 08:39:25 --> authentication --> login --> login -->  --> 
Admin, Teemworx (admin) --> 2017-07-14 09:03:36 --> authentication --> logout --> logout -->  --> 
Admin, Teemworx (admin) --> 2017-07-14 09:03:52 --> authentication --> login --> login -->  --> 
Admin, Teemworx (admin) --> 2017-07-14 09:04:35 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:35 --> profiles --> edit --> mod_id -->  --> 4
Admin, Teemworx (admin) --> 2017-07-14 09:04:35 --> profiles --> edit --> sensitivity_id -->  --> 4
Admin, Teemworx (admin) --> 2017-07-14 09:04:35 --> profiles --> edit --> value -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> action_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> action_id -->  --> 2
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> action_id -->  --> 3
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:36 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> action_id -->  --> 4
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> action_id -->  --> 5
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> action_id -->  --> 6
Admin, Teemworx (admin) --> 2017-07-14 09:04:37 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> action_id -->  --> 7
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> mod_id -->  --> 252
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> action_id -->  --> 8
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> grant -->  --> on
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-07-14 09:04:38 --> profiles --> edit --> mod_id -->  --> 252
