2017-07-17 09:01:46 --> branch --> update --> company_coe -->  --> The Ithiel Alaminos Company
2017-07-17 11:45:30 --> authentication --> login --> login -->  --> 
2017-07-17 11:56:00 --> authentication --> login --> login -->  --> 
2017-07-17 11:57:15 --> payroll_period --> insert --> date_from -->  --> 2017-05-31
2017-07-17 11:57:15 --> payroll_period --> insert --> date_to -->  --> 2017-05-31
2017-07-17 11:57:15 --> payroll_period --> insert --> payroll_date -->  --> 2017-07-15
2017-07-17 11:57:15 --> payroll_period --> insert --> posting_date -->  --> 2017-07-15
2017-07-17 11:57:15 --> payroll_period --> insert --> apply_to_id -->  --> 2
2017-07-17 11:57:15 --> payroll_period --> insert --> period_processing_type_id -->  --> 1
2017-07-17 11:57:15 --> payroll_period --> insert --> payroll_schedule_id -->  --> 4
2017-07-17 11:57:15 --> payroll_period --> insert --> week -->  --> 2
2017-07-17 11:57:15 --> payroll_period --> insert --> remarks -->  --> special for ot
2017-07-17 11:57:16 --> payroll_period --> insert --> period_status_id -->  --> 1
2017-07-17 14:28:43 --> authentication --> login --> login -->  --> 
2017-07-17 14:32:12 --> authentication --> login --> login -->  --> 
2017-07-17 15:08:18 --> authentication --> login --> login -->  --> 
